A B C
31 70 14
8 66 19
85 90 8
94 87 63
48 62 96
44 52 82
84 74 94
27 65 99
24 35 3
7 78 45
21 86 95
76 58 59
66 84 88
43 89 21
19 51 36
4 40 38
38 28 98
45 77 73
35 70 67
63 2 71
20 99 70
76 82 78
38 64 12
47 59 84
73 31 97
34 59 2
23 59 83
12 42 13
61 30 49
71 83 31
51 95 87
94 39 71
83 39 94
91 86 29
78 42 90
22 32 97
90 32 11
47 81 41
61 59 41
63 97 98
77 82 87
79 37 100
27 20 40
17 12 14
81 45 11
86 38 78
82 1 42
43 87 97
29 2 27
76 15 49
49 59 71
58 35 84
35 22 49
34 5 73
84 37 96
38 85 80
20 15 13
76 13 95
65 70 88
33 4 50
33 50 47
27 19 48
95 49 49
54 36 67
40 14 83
27 25 26
50 22 11
27 56 40
99 8 66
3 71 36
18 68 94
59 100 49
37 57 43
41 35 91
40 63 90
35 94 11
71 89 42
21 6 73
83 68 55
87 3 28
25 6 32
94 15 2
65 74 67
24 55 82
28 84 28
50 12 24
27 10 51
49 2 20
92 90 6
63 98 14
73 39 31
53 17 10
62 36 81
26 62 35
80 28 38
33 16 66
28 46 18
17 46 89
49 8 55
42 2 1
87 36 36
4 56 55
27 26 45
51 8 92
